id,title,like_count,view_count,comment_count,duration,upload_date,has_caption,url,channel_id,transcript
55,서울시립대학교 박물관 글로벌 시민강좌  3 The late Joseon Dynasty,5,203,0,23분 33초,2023-11-23 4:45,1,https://www.youtube.com/watch?v=y-dGbYD-NQA,1,
56,서울시립대학교 박물관 글로벌 시민강좌 2  Early Joseon Dynasty,1,178,0,20분 2초,2023-11-23 4:37,1,https://www.youtube.com/watch?v=GjN-0mhMAlA,1,
57,서울시립대학교 박물관 글로벌 시민강좌 1  Ancient Times of Korea~Goguyeo Dynast,3,280,1,28분 30초,2023-11-23 4:28,1,https://www.youtube.com/watch?v=PjGRY1ZBD1E,1,
58,(SUB)5개국어로 캠퍼스투어를 하는 학교가 있다..? 2023 서울시립대학교 캠퍼스투어 | 글로벌 홍보대사 글로우,100,6814,15,6분 58초,2023-11-15 7:00,1,https://www.youtube.com/watch?v=4yegnxe8eVQ,1,
59,교내 영어연극 부원 500:1을 뚫고 성우가 되다 | 시립대의 천재들 ep. 9 | 성우 이창현(영문 15) | SNS홍보대사 시:선,36,1515,4,12분 1초,2023-10-27 9:00,1,https://www.youtube.com/watch?v=vpt1rELVZyI,1,
60,현장실습 V-log l UOS 현장실습 후기,7,509,1,4분 7초,2023-10-26 9:00,1,https://www.youtube.com/watch?v=keLCsq6ti1g,1,
61,현장실습 V-log l 현장실습생에게 서울시립대vs율촌을 묻다,11,1303,4,6분 47초,2023-10-26 8:00,1,https://www.youtube.com/watch?v=r7LYdZdFtXw,1,
62,현장실습 V-log l UOS MZ 현장실습생,6,297,2,2분 48초,2023-10-26 7:00,1,https://www.youtube.com/watch?v=gxyTq1vyKPE,1,
63,현장실습 V-log l 서울시립대생의 현장실습,2,346,1,6분 0초,2023-10-25 9:00,1,https://www.youtube.com/watch?v=UqOGRZT5jug,1,
64,현장실습 V-log l 나의 현장실습 일지,1,247,1,3분 20초,2023-10-25 8:00,1,https://www.youtube.com/watch?v=51baCbHLG88,1,
65,현장실습 V-log l 꿈을 향해 나아갈 원동력 현장실습,2,181,3,3분 34초,2023-10-25 6:42,1,https://www.youtube.com/watch?v=P0zoN2wwfSc,1,
66,[대학축제 vlog] 🔥시립대 경희대 외대가 뭉쳤다🔥 | 키싱부스 조정체험 축구 공연까지 | 2023 TROIKA 축제 브이로그 | 홍보대사 이루미,46,6209,1,4분 53초,2023-10-20 9:00,1,https://www.youtube.com/watch?v=OHMioYfUhMw,1,
67,2023 TROIKA LET'S COLOR(인향제),16,1063,3,3분 28초,2023-10-16 9:00,1,https://www.youtube.com/watch?v=g9XLCV6WYn0,1,
68,서울시립대학교 홍보대사 이루미 19기 모집 홍보 영상 l 서울시립대 홍보대사 이루미,45,4527,4,1분 34초,2023-10-06 9:00,1,https://www.youtube.com/watch?v=8wSXG4Zb_4M,1,
69,서울시립대 X 홍익대 : 거기 너! 내 동료가 되어라! l 시시콜콜 l 서울시립대 홍보대사 이루미,25,1020,3,7분 44초,2023-09-25 9:00,1,https://www.youtube.com/watch?v=25Wh3OJyWFc,1,
70,대일플ep1.어른들의 멘토링,5,172,2,1분 9초,2023-09-19 8:09,1,https://www.youtube.com/watch?v=MWQ9OeNaO-c,1,
71,2023 트로이카 서울시립대학교 스케치 영상 | SNS홍보대사 시:선,16,1024,4,1분 5초,2023-09-14 8:54,1,https://www.youtube.com/watch?v=BvnRGiuxxLQ,1,
